Collection Name,Block Number,Transaction Hash,Genesis Token Name,Virtual Price (USDC),Genesis Price (Virtual),Genesis Price (USDC)
afath_swap,31657435,0x2d69a345d76f412ac8c039816d308dff511d787bc7ee7a8fd9e6f381c39254eb,AFATH,1.98548672,0.00011505,0.00022842
afath_swap,31657444,0x9af1b01f8d8b115907ba57f2b2a422b2b6eaab801dba74736f7f72f8c9245c94,AFATH,1.98548683,0.00011316,0.00022468
afath_swap,31657447,0xf23f954192ad222631826b276fd93e3a0912999cb1734774db6b4cbe9323e33b,AFATH,1.98548683,0.00011227,0.00022292
afath_swap,31657449,0x4a631799faf7cb33b99d7d7f0ba128a7b787927a2557649df5de6875b78cf695,AFATH,1.98548683,0.00010972,0.00021785
afath_swap,31657457,0x58ed6f33c66899753c68463441cb620d413ca49d8197c687be7904769189923c,AFATH,1.98548683,0.00010792,0.00021428
afath_swap,31657460,0xc2d05db9468289f75b7d43809984fdefb2eb2926f19338a82c92fd0a14ff8ba9,AFATH,1.98548683,0.00010804,0.0002145
afath_swap,31657468,0x7d146985c35ddc4ea06e0ab66e0f12d06ddc0968e646a4ba5ff747d20f2024db,AFATH,1.98548683,0.00010516,0.0002088
afath_swap,31657471,0xfb798cbb25d3f52d43133bbd1aff6c20d02da18d4d85b780db64bc4f8417c652,AFATH,1.98548683,0.00010282,0.00020415
afath_swap,31657476,0xa32a6d374069155fdadd91a5d3f8ee5bea65f9c98239fd9d5df18cdf26f7d278,AFATH,1.98548683,0.00010123,0.00020098
afath_swap,31657476,0x0e3592695c8c1358548c5015ac1c15f9618161fa21de2aae2427308539c6756e,AFATH,1.98548683,0.0001003,0.00019915
afath_swap,31657478,0x5e3e5c19d48e9af78969720179b2d1f20e11929175aae6584a2242b48f61b088,AFATH,1.98548683,9.761e-05,0.00019381
afath_swap,31657479,0x61701c75d432914de5d6d9fbd97f954ea1d0ebfe2e9b024c6d4fb1412e66ebbc,AFATH,1.98548683,9.625e-05,0.0001911
afath_swap,31657479,0x1408a9e90cb3ee936e3793d9ca37ae47fafc2e39b906a4817c316c7e2b0d9536,AFATH,1.98548683,9.382e-05,0.00018627
afath_swap,31657479,0xd685a6640777c9c94c49cbb118cb22c593a3e95dde845afd3ea0c305b1a60a1e,AFATH,1.98548683,9.252e-05,0.00018369
afath_swap,31657481,0x0a76743c8c54c743c714fa0ded2ad5eab3f7726e5d96e595ac7186932ba7e78d,AFATH,1.98548683,9.372e-05,0.00018607
afath_swap,31657485,0xc3be1188ecb875bd97476577b7ca0c9387f765b4a3b6ab92083d535b297158cf,AFATH,1.98548683,9.547e-05,0.00018955
afath_swap,31657485,0x47751f5d7198bc33115945938edfd8e827461cc13f34f2d765176a7c777c2d5d,AFATH,1.98548683,9.545e-05,0.00018951
afath_swap,31657485,0x4ca195f3980bcd74f50acfb490d22aa0d1b5a6348cb525fd67b818e50d1c1235,AFATH,1.98548683,9.341e-05,0.00018547
afath_swap,31657489,0x68812bc47937ed84d71f9ffbefcd127168391477ec2e0ad5eba270cee2e175e9,AFATH,1.98522673,8.965e-05,0.00017798
afath_swap,31657493,0xeb2ccd2f74288a9390ec622b94df5898a851d6001d96f421da43f3e4f8be159b,AFATH,1.98522673,8.846e-05,0.0001756
afath_swap,31657493,0x8a8608fd5880d077c3b25d5250cb9282f81d38eb8402eed722ad78383257da24,AFATH,1.98522673,8.797e-05,0.00017464
afath_swap,31657495,0xd8f2e97af91e4b5f09ceff7ca8e05a4caf6d42d99e6556dbec42c134138deeb8,AFATH,1.98522673,8.62e-05,0.00017113
afath_swap,31657495,0x6ed7215ca546d534387989fc6c1c4ec8c2285f9e958f21fbcddaf7b297f74359,AFATH,1.98522673,8.5e-05,0.00016875
afath_swap,31657497,0xec44d049a4bdbda9d68cf2401c9771a15e5838238642c933709db3826cf6e155,AFATH,1.98522673,8.304e-05,0.00016485
afath_swap,31657497,0x0965943c297e778dbc4a1c4d5d69b75f970a09f4a5539fb12d35ad135e47c995,AFATH,1.98522673,8.211e-05,0.000163
afath_swap,31657503,0xd534e87bbbc664a9551a7b1981d9a2f7a77500bb85a61b49318e9b32d5d3bdc2,AFATH,1.98522673,8.112e-05,0.00016104
